Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
belly;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*uo=ɬʷɨn ~ ro=ɬʷɨn;0.98;"Proto-Lezgian: *uo=ɬʷɨn ~ *ro=ɬʷɨn; Proto-Nakh: *gag-; Ancient Attic Greek (Plato) [grc]: gas-téːr {γαστήρ}; Ancient Ionic Greek (Herodotus) [grc]: gas-téːr {γαστήρ}"
belly;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*yuʔ;0.98;"Proto-Cahuapanan: *yuʔ; Proto-Jabuti: *pɾi-ka"
big;branch_african;Proto-Sapiens Africanus (Праафриканский);*kai;0.98;"Proto-Kalahari Khoe: *kai #; Proto-Khoekhoe: *kai; Proto North Khoisan: *àʔà ~ *ʔ; Proto-!Wi: *!xo #; *u-si ~ *o-si #"
big;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*pːVhˤV- ~ hˤVpːV-;0.98;"Proto-Lezgian: *pːVhˤV- ~ *hˤVpːV-; Proto-Nakh: *=aqqu-n; Proto-Yeniseian: *qeʔ; Proto-Taa: *!xa-"
big;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *čiči"
bird;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʒara;0.98;"Proto-Kalahari Khoe: *ʒara; Proto-Khoekhoe: *xʼani-; Proto North Khoisan: *cʼā(m)-mà; Proto-!Wi: *ǀqʰu-"
bird;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*nɨсʼʷ;0.98;"Proto-Lezgian: *nɨсʼʷ; Proto-Nakh: *ʔaːlxaʒur; Proto-Yeniseian: *duma; Proto-Taa: *u(ʔ)-"
bird;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ɪlansiʔ;0.98;"Proto-Cahuapanan: *ɪlansiʔ; Proto-Jabuti: *nbɨkɾɔy"
bite;branch_african;Proto-Sapiens Africanus (Праафриканский);*pa;0.98;"Proto-Kalahari Khoe: *pa; Proto-Khoekhoe: *ba #; Proto North Khoisan: *ʔāē; Proto-!Wi: *cʼi"
bite;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔeqʼːɨ-;0.98;"Proto-Lezgian: *ʔeqʼːɨ-; Proto-Nakh: *qaħ- #; Proto-Yeniseian: *ʔaʒ; Proto-Taa: *ciʔ-"
bite;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kɪtɨʔ-;0.98;"Proto-Cahuapanan: *kɪtɨ(ʔ)-; Proto-Jabuti: *ʔi- #"
black;branch_african;Proto-Sapiens Africanus (Праафриканский);*u;0.98;"Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *žō; Proto-!Wi: *!oe ~ *!ʰoe #"
black;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*krs-nós;0.98;"Праиндоевропейский / Proto-Indo-European: *krs-nós; Proto-Lezgian: *laːˤV- ~ *loːˤV-; Proto-Nakh: *ʡaːrčʼ-i; Proto-Yeniseian: *tum-"
black;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*pupuruʔa;0.88;Are'are (Ma'asupa): pupuruʔa
blood;branch_african;Proto-Sapiens Africanus (Праафриканский);*d-m;0.98;"Праафразийский праязык / Proto-Afroasiatic: *d-m; Прасемитский / Proto-Semitic: *dam-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: znf; Proto-Kalahari Khoe: *ǀʼao"
